# x y shiftx shifty (regularE-shiftedE)/(shiftlength)
-3.77964 -3.23023 0.138244 0.0857806 -0.415615
-3.77964 -3.23023 0 0.151832 0.0268273
-3.77964 -3.23023 -0.131131 0.0561166 0.419584
-3.77964 -3.23023 0.149889 -0.0636184 -0.462086
-3.77964 -3.23023 -0.103938 -0.0944313 0.351017
-3.77964 -3.23023 0.0599294 -0.153726 -0.187294
-3.77964 -2.88102 0.131491 0.0759161 -0.155864
-3.77964 -2.88102 -0.118353 0.0609689 0.378893
-3.77964 -2.88102 0.0155789 0.16272 0.0885825
-3.77964 -2.88102 0.138244 -0.0660517 -0.216451
-3.77964 -2.88102 0 -0.151832 -0.0507946
-3.77964 -2.88102 -0.131131 -0.0957156 0.286765
-3.77964 0.261911 0.0449936 0.127624 -0.403095
-3.77964 0.261911 -0.0907032 -0.0941712 0.631851
-3.77964 0.261911 0.0675251 -0.120867 0.109645
-3.77964 0.261911 0.169201 0.0509378 -0.450463
-3.77964 0.261911 -0.131491 0.0759161 0.243455
-3.47721 -2.70641 0.140456 0.0674754 -0.166272
-3.47721 -2.70641 -0.115912 0.0868041 0.199052
-3.47721 -2.70641 0.0106733 0.156373 -0.0305723
-3.47721 -2.70641 0.00675306 -0.141968 0.208115
-3.47721 -2.70641 0.146428 -0.0709554 -0.0552529
-3.47721 -2.70641 -0.131491 -0.0759161 0.392829
-3.47721 -1.30955 0.212239 0.021865 -0.556949
-3.47721 -1.30955 -0.035614 0.151259 0.449545
-3.47721 -1.30955 0.104263 0.093542 -0.230765
-3.47721 -1.30955 -0.0683873 -0.174892 -0.0306219
-3.47721 -1.30955 -0.124009 -0.0030118 0.612817
-3.47721 -1.30955 0.0587308 -0.126551 -0.456377
-3.17478 -3.23023 0.131491 0.0759161 -0.421006
-3.17478 -3.23023 -0.124738 0.0857806 0.408165
-3.17478 -3.23023 0.014937 0.156793 -0.0755155
-3.17478 -3.23023 0.00647925 -0.162599 0.182549
-3.17478 -3.23023 0.132327 -0.0810398 -0.286616
-3.17478 -3.23023 -0.113092 -0.0636184 0.55707
-3.17478 -0.785732 0 0.151832 0.14773
-3.17478 -0.785732 0.148524 -0.0865614 -0.499834
-3.17478 -0.785732 0.139021 0.0572925 -0.534906
-3.17478 -0.785732 -0.167105 -0.0764892 0.521986
-3.17478 -0.785732 -0.123177 0.0556552 0.574277
-3.17478 -0.785732 -0.0272273 -0.134206 0.0650443
-3.17478 -0.436518 0.0760796 0.147168 0.0460119
-3.17478 -0.436518 0.139021 -0.0945397 -0.71169
-3.17478 -0.436518 0.162672 0.041499 -0.542085
-3.17478 -0.436518 -0.123177 -0.0961771 0.421513
-3.17478 -0.436518 -0.0783171 0.100371 0.799932
-3.17478 -0.436518 0 -0.151832 -0.255471
-3.17478 -0.436518 -0.19609 0.0174115 0.822133
-3.17478 0.960339 0.168739 -0.104338 -0.74612
-3.17478 0.960339 0.143797 0.0460885 -0.539372
-3.17478 0.960339 -0.0765426 -0.111362 0.0966974
-3.17478 0.960339 0.0446688 0.145697 0.14003
-3.17478 0.960339 -0.111483 0.0679049 0.803415
-3.17478 0.960339 0.054016 -0.167265 -0.53008
-2.87235 -3.05562 -0.116554 0.0808768 0.220174
-2.87235 -3.05562 0.132429 0.0579812 0.277476
-2.87235 -3.05562 0.031036 0.155602 0.307282
-2.87235 -3.05562 0.000836087 -0.156956 -0.0464689
-2.87235 -3.05562 0.131377 -0.0918446 0.0145215
-2.87235 -3.05562 -0.131491 -0.0759161 0.00214667
-2.56992 0.960339 0.11501 0.0841392 -0.491379
-2.56992 0.960339 0.0591978 -0.156694 -0.0774581
-2.56992 0.960339 0.152213 -0.0568224 -0.482803
-2.56992 0.960339 -0.0942418 -0.104338 0.544716
-2.56992 0.960339 -0.119184 0.0460885 0.586902
-2.56992 0.960339 -0.0624902 0.179636 0.156888
-2.56992 3.05562 0.14519 0.0402383 -0.284117
-2.56992 3.05562 0.167659 -0.1044 -0.16609
-2.56992 3.05562 -0.120836 0.0749926 0.253056
-2.56992 3.05562 0.0177686 0.14571 -0.146319
-2.56992 3.05562 0.0251885 -0.137031 0.105909
-2.56992 3.05562 -0.11223 -0.0975702 0.413067
-1.96507 -2.88102 0.125323 0.0818862 -0.399187
-1.96507 -2.88102 -0.128249 0.00734187 0.61916
-1.96507 -2.88102 -0.0482337 0.142163 0.363478
-1.96507 -2.88102 0.0184435 -0.158645 -0.197465
-1.96507 -2.88102 0.136184 -0.0718587 -0.543905
-1.96507 -2.88102 -0.123984 -0.134228 0.298165
-1.96507 0.611125 0.0960332 -0.110065 -0.0458985
-1.96507 0.611125 0.0161362 0.161051 -0.157242
-1.96507 0.611125 0.130846 0.0731864 -0.291258
-1.96507 0.611125 -0.0875787 -0.098406 0.331744
-1.96507 0.611125 -0.110769 0.0950098 0.127984
-1.66264 1.83337 0.0872478 -0.156995 -0.63036
-1.66264 1.83337 0.182006 0.0464575 -0.77902
-1.66264 1.83337 0.0693011 0.12278 -0.132414
-1.66264 1.83337 -0.131821 0.00309104 0.989803
-1.66264 1.83337 0.189087 -0.0816542 -0.918759
-1.66264 1.83337 -0.044475 -0.136863 0.0898835
-1.66264 1.83337 -0.0665426 0.151724 0.713302
-1.05778 -0.261911 -0.0332731 0.131613 -0.0407314
-1.05778 -0.261911 0.151643 0.0201 -0.384657
-1.05778 -0.261911 0.11082 0.149272 -0.383128
-1.05778 -0.261911 -0.0244566 -0.1237 0.34019
-1.05778 -0.261911 0.126092 -0.131055 -0.105065
-1.05778 -0.261911 -0.142724 0.0149615 0.449755
-0.452924 2.18259 0.14871 0.0447437 -0.143999
-0.452924 2.18259 -0.10846 0.0700207 0.433494
-0.452924 2.18259 0.106174 -0.101225 -0.291167
-0.452924 2.18259 -0.0739504 -0.116206 -0.0782595
-0.452924 2.18259 0.0459858 0.14452 0.183876
-0.150495 1.30955 -0.00504362 -0.137922 0.426743
-0.150495 1.30955 0.131491 -0.0759161 0.16963
-0.150495 1.30955 0.0107592 0.142806 -0.18921
-0.150495 1.30955 -0.130914 0.146868 -0.0252783
-0.150495 1.30955 0.141134 0.0769265 -0.146239
-0.150495 1.30955 -0.134065 -0.00619416 0.202447
0.151933 -0.611125 0.0137431 0.185908 -0.366221
0.151933 -0.611125 -0.100875 0.123888 -0.0828103
0.151933 -0.611125 0.141046 -0.0987275 -0.0570318
0.151933 -0.611125 -0.141269 -0.0127697 0.340337
0.151933 -0.611125 -0.00370117 -0.137447 0.287693
0.151933 -0.611125 0.122558 0.0652895 -0.405178
0.151933 1.13495 0.141157 -0.0724838 -0.00133318
0.151933 1.13495 -0.136534 -0.0620056 0.408457
0.151933 1.13495 0.00964362 0.152843 -0.158391
0.151933 1.13495 0.00514957 -0.141725 0.284577
0.151933 1.13495 0.136785 0.0740255 -0.264143
0.151933 1.13495 -0.131491 0.0759161 0.212876
0.151933 2.18259 0.131491 -0.0759161 -0.221681
0.151933 2.18259 -0.00293839 -0.143648 0.310397
0.151933 2.18259 -0.0680468 0.182651 0.163009
0.151933 2.18259 -0.156807 -0.101225 0.599911
0.151933 2.18259 0.131491 0.0759161 -0.346609
0.151933 2.18259 -0.114271 0.0447437 0.520704
0.151933 2.18259 0.0603038 0.187254 -0.150889
0.454361 -0.0873035 0.0277679 0.169402 -0.395375
0.454361 -0.0873035 -0.117748 -0.04184 0.840064
