# x y shiftx shifty (regularE-shiftedE)/(shiftlength)
-3.77964 -3.23023 0.144431 0.0931043 -0.444529
-3.77964 -3.23023 0.145624 -0.0535073 -0.309317
-3.77964 -3.23023 0 0.151832 -0.126403
-3.77964 -3.23023 -0.0919739 -0.14789 0.591365
-3.77964 -3.23023 -0.126048 0.00245863 0.5312
-3.77964 -3.23023 0.0457871 -0.146198 0.163068
-3.77964 -2.88102 -0.0346507 0.136151 0.512423
-3.77964 -2.88102 0.131491 0.0759161 -0.0499708
-3.77964 -2.88102 -0.126048 -0.149374 0.171975
-3.77964 -2.88102 0.144431 -0.058728 -0.323343
-3.77964 -2.88102 -0.131899 0.00990677 0.567683
-3.77964 -2.88102 0 -0.151832 -0.14465
-3.77964 0.261911 0.169157 -0.0338451 -0.20836
-3.77964 0.261911 0.12471 0.0981247 -0.620467
-3.77964 0.261911 -0.00826071 0.166112 -0.469035
-3.77964 0.261911 -0.117941 -0.0722213 0.746998
-3.77964 0.261911 -0.131491 0.0759161 0.190885
-3.77964 0.261911 0.0513936 -0.126881 0.500894
-3.47721 -2.70641 -0.0372867 0.1347 0.0362852
-3.47721 -2.70641 0.116093 0.112175 -0.302316
-3.47721 -2.70641 -0.131491 -0.0759161 0.51687
-3.47721 -2.70641 0.148148 -0.0602366 -0.124787
-3.47721 -2.70641 0.0129408 -0.134644 0.305846
-3.47721 -2.70641 -0.166141 0.0602348 0.375372
-3.47721 -1.30955 0.00213962 0.147512 0.476791
-3.47721 -1.30955 0.161092 -0.0467209 -0.820525
-3.47721 -1.30955 0.139051 0.086549 -0.379173
-3.47721 -1.30955 -0.047607 -0.124555 -0.0247977
-3.47721 -1.30955 -0.12017 0.0589827 0.895918
-3.17478 -3.23023 -0.11855 0.0931043 0.154962
-3.17478 -3.23023 0.0166575 0.167512 -0.484521
-3.17478 -3.23023 0.131491 0.0759161 -0.666422
-3.17478 -3.23023 -0.0475065 -0.181313 0.665742
-3.17478 -3.23023 -0.117357 -0.0535073 0.763302
-3.17478 -3.23023 0.0907098 -0.10344 0.0898217
-3.17478 -0.785732 0 0.151832 0.133312
-3.17478 -0.785732 0.155018 -0.0347173 -0.477084
-3.17478 -0.785732 0.137266 0.0995296 -0.273189
-3.17478 -0.785732 -0.129351 -0.0802362 0.499218
-3.17478 -0.785732 -0.115447 0.0863499 0.520165
-3.17478 -0.785732 0.00756071 -0.141199 -0.0752196
-3.17478 -0.436518 0.0479901 0.163854 -0.49674
-3.17478 -0.436518 0.137266 -0.0523026 -0.502648
