-3.77964 -3.23023 -1
-3.77964 -2.88102 -1
-3.77964 0.261911 -1
-3.47721 -2.70641 -1
-3.47721 -1.30955 -1
-3.17478 -3.23023 -1
-3.17478 -0.785732 -1
-3.17478 -0.436518 -1
-3.17478 0.960339 -1
-2.87235 -3.05562 -1
-2.56992 0.960339 -1
-2.56992 3.05562 -1
-1.96507 -2.88102 -1
-1.96507 0.611125 -1
-1.66264 1.83337 -1
-1.05778 -0.261911 -1
-0.452924 2.18259 -1
-0.150495 1.30955 -1
0.151933 -0.611125 -1
0.151933 1.13495 -1
0.151933 2.18259 -1
0.454361 -0.0873035 -1
0.454361 2.00798 -1
0.454361 2.3572 -1
1.9665 2.88102 -1
2.26893 -0.785732 -1
2.57136 -3.05562 -1
2.57136 -2.3572 -1
2.57136 0.436518 -1
2.87379 2.00798 -1
3.17622 -3.40484 -1
3.17622 -2.00798 -1
3.17622 2.88102 -1
3.47864 -1.83337 -1
3.78107 0.436518 -1
