-3.77999 -3.23023 -1
-3.77999 -2.88102 -1
-3.77999 0.261911 -1
-3.47757 -2.70641 -1
-3.47757 -1.30955 -1
-3.17514 -3.23023 -1
-3.17514 -0.785732 -1
-3.17514 -0.436518 -1
-3.17514 0.960339 -1
-2.87271 -3.05562 -1
-2.57028 0.960339 -1
-2.57028 3.05562 -1
-1.96542 -2.88102 -1
-1.96542 0.611125 -1
-1.663 1.83337 -1
-1.05814 -0.261911 -1
-0.453283 2.18259 -1
-0.150855 1.30955 -1
0.151574 -0.611125 -1
0.151574 1.13495 -1
0.151574 2.18259 -1
0.454002 -0.0873035 -1
0.454002 2.00798 -1
0.454002 2.3572 -1
1.96614 2.88102 -1
2.26857 -0.785732 -1
2.571 -3.05562 -1
2.571 -2.3572 -1
2.571 0.436518 -1
2.87343 2.00798 -1
3.17586 -3.40484 -1
3.17586 -2.00798 -1
3.17586 2.88102 -1
3.47829 -1.83337 -1
3.78071 0.436518 -1
