# x y xvec_nb yvec_nb regE(nb)-regE(xy)
-3.77964 -3.23023 0.138244 0.0857806 -0.0303861
-3.77964 -3.23023 0 0.151832 0.0366036
-3.77964 -3.23023 -0.131131 0.0561166 0.119238
-3.77964 -3.23023 0.149889 -0.0636184 0.151249
-3.77964 -3.23023 -0.103938 -0.0944313 0.0799616
-3.77964 -3.23023 0.0599294 -0.153726 0.119572
-3.77964 -2.88102 0.131491 0.0759161 -0.0966895
-3.77964 -2.88102 -0.118353 0.0609689 0.10674
-3.77964 -2.88102 0.0155789 0.16272 -0.0596626
-3.77964 -2.88102 0.138244 -0.0660517 -0.0685405
-3.77964 -2.88102 0 -0.151832 -0.0366036
-3.77964 -2.88102 -0.131131 -0.0957156 0.0705258
-3.77964 0.261911 0.0449936 0.127624 -0.0795304
-3.77964 0.261911 -0.0907032 -0.0941712 0.102167
-3.77964 0.261911 0.0675251 -0.120867 -0.121418
-3.77964 0.261911 0.169201 0.0509378 -0.146989
-3.77964 0.261911 -0.131491 0.0759161 -0.0384881
-3.47721 -2.70641 0.140456 0.0674754 -0.0385403
-3.47721 -2.70641 -0.115912 0.0868041 0.0340295
-3.47721 -2.70641 0.0106733 0.156373 -0.0258619
-3.47721 -2.70641 0.00675306 -0.141968 0.0294052
-3.47721 -2.70641 0.146428 -0.0709554 -0.0461171
-3.47721 -2.70641 -0.131491 -0.0759161 0.0966895
-3.47721 -1.30955 0.212239 0.021865 -0.000974261
-3.47721 -1.30955 -0.035614 0.151259 -0.0201683
-3.47721 -1.30955 0.104263 0.093542 -0.0337649
-3.47721 -1.30955 -0.0683873 -0.174892 -0.161662
-3.47721 -1.30955 -0.124009 -0.0030118 0.213781
-3.47721 -1.30955 0.0587308 -0.126551 -0.174517
-3.17478 -3.23023 0.131491 0.0759161 -0.109687
-3.17478 -3.23023 -0.124738 0.0857806 -0.0595897
-3.17478 -3.23023 0.014937 0.156793 -0.131453
-3.17478 -3.23023 0.00647925 -0.162599 -0.111239
-3.17478 -3.23023 0.132327 -0.0810398 -0.164626
-3.17478 -3.23023 -0.113092 -0.0636184 0.158378
-3.17478 -0.785732 0 0.151832 0.00762375
-3.17478 -0.785732 0.148524 -0.0865614 -0.136233
-3.17478 -0.785732 0.139021 0.0572925 -0.171546
-3.17478 -0.785732 -0.167105 -0.0764892 0.0596659
-3.17478 -0.785732 -0.123177 0.0556552 0.230093
-3.17478 -0.785732 -0.0272273 -0.134206 0.0684222
-3.17478 -0.436518 0.0760796 0.147168 -0.0126314
-3.17478 -0.436518 0.139021 -0.0945397 -0.160312
-3.17478 -0.436518 0.162672 0.041499 -0.064398
