# x y xvec_nb yvec_nb regE(nb)-regE(xy)
-3.77964 -3.23023 0.138244 0.0857806 -0.0598411
-3.77964 -3.23023 0 0.151832 -0.0699594
-3.77964 -3.23023 0.144819 -0.0600508 0.0884147
-3.77964 -3.23023 -0.0584897 -0.114378 -0.00281345
-3.77964 -3.23023 -0.129939 0.0371396 -0.0203536
-3.77964 -3.23023 0.102126 -0.176377 0.0692048
-3.77964 -2.88102 -0.0799657 0.105598 0.22584
-3.77964 -2.88102 0.131491 0.0759161 -0.0343562
-3.77964 -2.88102 0.138244 -0.0660517 0.00578445
-3.77964 -2.88102 0.0510197 0.17947 0.129068
-3.77964 -2.88102 -0.129939 -0.114693 0.0454167
-3.77964 -2.88102 -0.182587 0.00679211 0.0622713
-3.77964 -2.88102 0 -0.151832 0.0699594
-3.77964 0.261911 0.066732 0.127383 -0.0987971
-3.77964 0.261911 0.117482 -0.0925284 0.0164851
-3.77964 0.261911 -0.049133 0.197247 -0.0889571
-3.77964 0.261911 0.182062 0.0314886 -0.0577121
-3.77964 0.261911 -0.131491 0.0759161 0.0673812
-3.77964 0.261911 -0.183409 -0.0415783 0.0716968
-3.77964 0.261911 -0.0381668 -0.121409 0.282258
-3.47721 -2.70641 0.177109 0.0654452 -0.039816
-3.47721 -2.70641 -0.0804708 0.103553 0.223403
-3.47721 -2.70641 0.0665168 0.147777 -0.0608385
-3.47721 -2.70641 0.143085 -0.068301 -0.104629
-3.47721 -2.70641 0.00675306 -0.141968 0.0429375
-3.47721 -2.70641 -0.131491 -0.0759161 0.0343562
-3.47721 -1.30955 0.0336349 0.133414 0.272107
-3.47721 -1.30955 0.151561 -0.0650158 -0.0593756
-3.47721 -1.30955 0.168171 0.0704376 -0.0243288
-3.47721 -1.30955 -0.0965307 -0.0886456 0.0664318
-3.47721 -1.30955 -0.102917 0.115128 0.139092
-3.47721 -1.30955 0.0592531 -0.15899 -0.108479
-3.47721 -1.30955 -0.200863 0.015372 0.0501529
-3.17478 -3.23023 0.131491 0.0759161 -0.0505692
-3.17478 -3.23023 -0.124738 0.0857806 -0.0591558
-3.17478 -3.23023 0.0115948 0.159447 -0.197956
-3.17478 -3.23023 0.0497518 -0.128365 -0.0342222
-3.17478 -3.23023 0.184298 -0.04901 -0.0273435
-3.17478 -3.23023 -0.118163 -0.0600508 0.110465
-3.17478 -0.785732 0.136006 0.070966 -0.314444
-3.17478 -0.785732 0 0.151832 -0.214137
-3.17478 -0.785732 0.154766 -0.0665416 -0.176729
-3.17478 -0.785732 -0.0978557 -0.0943343 0.10064
-3.17478 -0.785732 -0.120349 0.0633723 0.223841
-3.17478 -0.785732 0.0366808 -0.157311 -0.174552
-3.17478 -0.436518 0.201186 0.0308948 -0.009301
-3.17478 -0.436518 0.136006 -0.0808663 -0.0993818
-3.17478 -0.436518 -0.00630093 0.156193 0.127141
-3.17478 -0.436518 0.124065 0.137054 0.0012708
-3.17478 -0.436518 -0.120349 -0.0884599 0.421516
-3.17478 -0.436518 -0.122789 0.0673374 0.352861
-3.17478 -0.436518 0 -0.151832 0.214137
-3.17478 0.960339 0.112492 0.112515 -0.171162
-3.17478 0.960339 0.134394 -0.034102 -0.0366084
-3.17478 0.960339 0.0820588 -0.175402 -0.143143
-3.17478 0.960339 -0.163754 -0.0262456 -0.252575
-3.17478 0.960339 -0.068414 0.107909 0.0902731
-3.17478 0.960339 -0.051226 -0.13187 -0.149817
-2.87235 -3.05562 -0.119896 0.0835312 -0.164031
-2.87235 -3.05562 0.138528 0.0376804 0.0359639
-2.87235 -3.05562 0.0404334 0.146406 -0.057434
-2.87235 -3.05562 0.0528077 -0.124926 0.0181637
-2.87235 -3.05562 -0.131491 -0.0759161 0.0505692
-2.56992 0.960339 0.108005 -0.116967 0.0049032
-2.56992 0.960339 0.123496 0.0904481 0.00384588
-2.56992 0.960339 0.205057 -0.0185897 0.0970841
-2.56992 0.960339 -0.128587 -0.034102 0.265191
-2.56992 0.960339 -0.0131756 0.150949 0.0375148
