# x y xvec_nb yvec_nb regE(nb)-regE(xy)
-3.77979 -3.23022 0.132575 0.0771516 -0.0180372
-3.77979 -3.23022 -0.130599 0.0753796 0.0132266
-3.77979 -3.23022 -5.6565e-05 0.151808 0.00634723
-3.77979 -3.23022 0.00426877 -0.152638 -0.00108085
-3.77979 -3.23022 0.132944 -0.0746687 -0.00331797
-3.77979 -3.23022 -0.128308 -0.0777894 0.00878097
-3.77992 -2.88106 0.131658 0.0759604 -0.0286834
-3.77992 -2.88106 -0.126423 0.0782893 0.00258877
-3.77992 -2.88106 0.00610221 0.154192 -0.00222452
-3.77992 -2.88106 5.6565e-05 -0.151808 -0.00634723
-3.77992 -2.88106 0.132632 -0.0746559 -0.0245092
-3.77992 -2.88106 -0.130543 -0.0764279 0.00681504
-3.77946 0.262207 0.0046103 0.149655 -0.00854753
-3.77946 0.262207 0.138537 -0.0727627 -0.00917312
-3.77946 0.262207 0.136463 0.0743613 -0.014066
-3.77946 0.262207 -0.128217 -0.0767122 0.0397016
-3.77946 0.262207 0.00710872 -0.149337 0.0248171
-3.77946 0.262207 -0.131584 0.0759183 0.023333
-3.47711 -2.70635 0.13727 0.074769 -0.0186569
-3.47711 -2.70635 -0.125555 0.0782318 0.0271512
-3.47711 -2.70635 0.00977063 0.152005 -0.00335556
-3.47711 -2.70635 0.000974418 -0.150616 0.00417981
-3.47711 -2.70635 0.133049 -0.0748016 -0.0143205
-3.47711 -2.70635 -0.131658 -0.0759604 0.0286834
-3.47649 -1.31012 0.00618391 0.149375 0.0338031
-3.47649 -1.31012 0.138364 -0.0742173 -0.0417332
-3.47649 -1.31012 0.137508 0.0738622 -0.032995
-3.47649 -1.31012 -0.124693 -0.0821596 0.0157632
-3.47649 -1.31012 -0.127353 0.0743011 0.0521402
-3.47649 -1.31012 0.0113499 -0.152236 -0.0201089
-3.17505 -3.22996 0.131458 0.0758566 -0.0242295
-3.17505 -3.22996 -0.130357 0.0770395 -0.00813864
-3.17505 -3.22996 0.00468244 -0.149716 0.0133072
-3.17505 -3.22996 0.00171772 0.152854 -0.0264792
-3.17505 -3.22996 0.136207 -0.0735859 -0.00066492
-3.17505 -3.22996 -0.129988 -0.0747808 0.00685806
-3.17426 -0.785984 6.12511e-06 0.15197 0.00756925
-3.17426 -0.785984 0.134965 -0.0757385 -0.043695
-3.17426 -0.785984 0.13332 0.0740126 -0.0422136
-3.17426 -0.785984 -0.125222 -0.0785116 0.0379832
-3.17426 -0.785984 -0.128796 0.0768094 0.0577626
-3.17426 -0.785984 0.00610245 -0.154025 -0.029777
-3.17424 -0.436453 0.00857036 0.152135 -0.0130612
-3.17424 -0.436453 0.133314 -0.0779577 -0.0491296
-3.17424 -0.436453 0.136634 0.0714877 -0.0358265
-3.17424 -0.436453 -0.128802 -0.0751609 0.0503715
-3.17424 -0.436453 -0.12515 0.0803093 0.0295804
-3.17424 -0.436453 -6.12511e-06 -0.15197 -0.00756925
-3.17465 0.960206 0.133407 -0.0769987 -0.0127721
-3.17465 0.960206 0.0083248 0.153418 0.010212
-3.17465 0.960206 0.134307 0.0749784 0.00179096
-3.17465 0.960206 -0.126798 -0.0782949 0.00895889
-3.17465 0.960206 -0.125221 0.0782402 0.0182933
-3.17465 0.960206 0.00560519 -0.153611 -0.00784128
-2.8727 -3.05549 -0.129741 0.0769976 -0.00245444
-2.8727 -3.05549 0.134393 0.0752711 0.000104531
-2.8727 -3.05549 0.00497589 0.151289 0.000906837
-2.8727 -3.05549 0.00474881 -0.149443 0.0239067
-2.8727 -3.05549 -0.131458 -0.0758566 0.0242295
-2.8727 -3.05549 0.13509 -0.0752177 0.0102569
-2.57002 0.960195 0.133225 -0.0754333 -0.0041687
-2.57002 0.960195 0.00683494 0.150354 0.00390516
-2.57002 0.960195 0.136675 0.073649 -0.00675197
-2.57002 0.960195 -0.129476 -0.0769939 -0.0109243
-2.57002 0.960195 0.00441976 -0.1523 -0.0140768
-2.57002 0.960195 -0.128577 0.0749832 0.00401217
-2.56948 3.05597 0.135703 0.076954 -0.0254516
-2.56948 3.05597 0.0102319 -0.150128 0.0131348
-2.56948 3.05597 0.138415 -0.0709166 -0.015406
-2.56948 3.05597 -0.126736 0.0794864 0.0161452
-2.56948 3.05597 0.00625451 0.152802 -0.0141877
-2.56948 3.05597 -0.125989 -0.0761291 0.0306858
-1.96488 -2.88098 -0.127897 0.0765847 0.00694372
