# x y xvec_nb yvec_nb regE(nb)-regE(xy)
-3.77964 -3.23023 0.127565 0.0749219 -0.211345
-3.77964 -3.23023 0 0.139686 -0.0859987
-3.77964 -3.23023 0.130892 -0.0645889 -0.0777812
-3.77964 -3.23023 -0.112394 0.0607774 0.123836
-3.77964 -3.23023 0.0289361 -0.14474 -0.0567907
-3.77964 -3.23023 -0.0981154 -0.0841484 0.0756894
-3.77964 -2.88102 0.120971 0.0698428 -0.0991867
-3.77964 -2.88102 0.127565 -0.0647637 -0.13458
-3.77964 -2.88102 -0.0715309 0.102358 0.0208119
-3.77964 -2.88102 0.0471307 0.167767 0.0477951
-3.77964 -2.88102 -0.112394 -0.0789083 0.202697
-3.77964 -2.88102 0 -0.139686 0.0859987
-3.77964 -2.88102 -0.182889 0.0166525 0.0576257
-3.77964 0.261911 0.0344698 0.128007 -0.0420186
-3.77964 0.261911 0.106431 -0.0820247 -0.0415086
-3.77964 0.261911 0.142859 0.0495973 0.0279519
-3.77964 0.261911 -0.0906754 -0.084541 0.157355
-3.77964 0.261911 -0.000956111 -0.172604 0.0462859
-3.77964 0.261911 -0.120971 0.0698428 0.0148334
-3.47721 -2.70641 0.095927 0.0973573 -0.0745932
-3.47721 -2.70641 -0.0738406 0.0979244 0.180879
-3.47721 -2.70641 0.00659369 -0.134607 -0.0400579
-3.47721 -2.70641 0.128923 -0.0617996 -0.178923
-3.47721 -2.70641 -0.120971 -0.0698428 0.0991867
-3.47721 -1.30955 0.141488 0.0322434 -0.183753
-3.47721 -1.30955 0.0368675 0.120851 0.0192775
-3.47721 -1.30955 -0.135454 -0.0860321 0.0217112
-3.47721 -1.30955 0.113609 -0.104735 -0.23301
-3.47721 -1.30955 -0.027878 -0.136929 0.0203435
-3.47721 -1.30955 -0.111207 0.0483601 0.155256
-3.17478 -3.23023 0.120971 0.0698428 -0.0865859
-3.17478 -3.23023 -0.114378 0.0749219 -0.0789997
-3.17478 -3.23023 0.00795143 0.147729 -0.209431
-3.17478 -3.23023 0.050061 -0.119529 0.147997
-3.17478 -3.23023 0.163762 -0.0419184 0.130945
-3.17478 -3.23023 -0.111051 -0.0645889 0.0709247
-3.17478 -0.785732 0 0.139686 -0.0441207
-3.17478 -0.785732 0.112831 -0.0919426 -0.234315
-3.17478 -0.785732 0.121244 0.056737 -0.233529
