# x y shiftx shifty (regularE-shiftedE)/(shiftlength)
-3.77964 -3.23023 0.138244 0.0857806 -0.580384
-3.77964 -3.23023 0 0.151832 -0.181597
-3.77964 -3.23023 0.144819 -0.0600508 -0.39263
-3.77964 -3.23023 -0.0584897 -0.114378 0.466802
-3.77964 -3.23023 -0.129939 0.0371396 0.512292
-3.77964 -3.23023 0.102126 -0.176377 -0.0414697
-3.77964 -2.88102 -0.0799657 0.105598 0.339304
-3.77964 -2.88102 0.131491 0.0759161 0.225338
-3.77964 -2.88102 0.138244 -0.0660517 -0.0837437
-3.77964 -2.88102 0.0510197 0.17947 0.425186
-3.77964 -2.88102 -0.129939 -0.114693 -0.0475077
-3.77964 -2.88102 -0.182587 0.00679211 0.150486
-3.77964 -2.88102 0 -0.151832 -0.216335
-3.77964 0.261911 0.066732 0.127383 -0.495385
-3.77964 0.261911 0.117482 -0.0925284 0.453686
-3.77964 0.261911 -0.049133 0.197247 -0.484308
-3.77964 0.261911 0.182062 0.0314886 -0.0857655
-3.77964 0.261911 -0.131491 0.0759161 -0.173381
-3.77964 0.261911 -0.183409 -0.0415783 0.335233
-3.77964 0.261911 -0.0381668 -0.121409 0.772589
-3.47721 -2.70641 0.177109 0.0654452 -0.424308
-3.47721 -2.70641 -0.0804708 0.103553 0.413187
-3.47721 -2.70641 0.0665168 0.147777 -0.134599
-3.47721 -2.70641 0.143085 -0.068301 -0.481635
-3.47721 -2.70641 0.00675306 -0.141968 0.0107278
-3.47721 -2.70641 -0.131491 -0.0759161 0.54802
-3.47721 -1.30955 0.0336349 0.133414 0.255511
-3.47721 -1.30955 0.151561 -0.0650158 -0.478586
-3.47721 -1.30955 0.168171 0.0704376 -0.199649
-3.47721 -1.30955 -0.0965307 -0.0886456 0.122071
-3.47721 -1.30955 -0.102917 0.115128 0.567415
-3.47721 -1.30955 0.0592531 -0.15899 -0.432722
-3.47721 -1.30955 -0.200863 0.015372 0.504829
-3.17478 -3.23023 0.131491 0.0759161 -0.476898
-3.17478 -3.23023 -0.124738 0.0857806 0.285105
-3.17478 -3.23023 0.0115948 0.159447 -0.278064
-3.17478 -3.23023 0.0497518 -0.128365 0.132626
-3.17478 -3.23023 0.184298 -0.04901 -0.273413
-3.17478 -3.23023 -0.118163 -0.0600508 0.690628
-3.17478 -0.785732 0.136006 0.070966 -0.657373
-3.17478 -0.785732 0 0.151832 0.153241
