# x y shiftx shifty (regularE-shiftedE)/(shiftlength)
-3.77964 -3.23023 0.140365 0.0851073 -0.170178
-3.77964 -3.23023 -0.123632 0.0392051 0.416334
-3.77964 -3.23023 0 0.151832 0.110971
-3.77964 -3.23023 0.0393633 -0.153468 -0.169194
-3.77964 -3.23023 0.142479 -0.0647597 -0.289441
-3.77964 -3.23023 -0.0941925 -0.128986 0.13024
-3.77964 -2.88102 0.131491 0.0759161 0.115376
-3.77964 -2.88102 -0.118081 0.0607962 0.444739
-3.77964 -2.88102 0 -0.151832 -0.211319
-3.77964 -2.88102 0.0120969 0.153791 0.330547
-3.77964 -2.88102 0.140365 -0.066725 -0.156391
-3.77964 -2.88102 -0.123632 -0.112627 -0.0583992
-3.77964 0.261911 0.0185393 0.149259 -0.451639
-3.77964 0.261911 0.144219 0.0711244 -0.451352
-3.77964 0.261911 -0.100279 -0.0836506 0.604174
-3.77964 0.261911 -0.131491 0.0759161 0.115589
-3.77964 0.261911 0.0936349 -0.0963896 0.136681
-3.47721 -2.70641 -0.119394 0.0778753 0.45739
-3.47721 -2.70641 0.149508 0.102949 -0.516685
-3.47721 -2.70641 0.0171315 0.147749 -0.0977351
-3.47721 -2.70641 0.00887414 -0.142641 0.171999
-3.47721 -2.70641 0.137744 -0.0656177 -0.419532
-3.47721 -2.70641 -0.131491 -0.0759161 0.644949
-3.47721 -1.30955 0.0519887 0.119713 0.245414
-3.47721 -1.30955 0.164418 -0.0592768 -0.832458
-3.47721 -1.30955 -0.0976697 -0.105499 0.0924223
-3.47721 -1.30955 0.188502 0.077753 -0.374989
-3.47721 -1.30955 -0.119113 0.0613578 0.848332
-3.47721 -1.30955 0.0529141 -0.145314 -0.756611
-3.17478 -3.23023 0.0105754 -0.152506 0.371462
-3.17478 -3.23023 -0.122616 0.0851073 0.276878
-3.17478 -3.23023 0.131491 0.0759161 -0.431046
-3.17478 -3.23023 0.00625297 0.162131 -0.279257
-3.17478 -3.23023 0.133959 -0.0786145 -0.105848
-3.17478 -3.23023 -0.120503 -0.0647597 0.659146
-3.17478 -0.785732 0 0.151832 -0.0309689
-3.17478 -0.785732 0.139094 0.0779309 -0.663724
-3.17478 -0.785732 0.165802 -0.058523 -0.705866
