# x y shiftx shifty (regularE-shiftedE)/(shiftlength)
-3.77964 -3.23023 0.120971 0.0698428 0.502632
-3.77964 -3.23023 -0.120971 0.0698428 0.502632
-3.77964 -3.23023 0 0.139686 0.514209
-3.77964 -3.23023 0 -0.139686 0.514209
-3.77964 -3.23023 0.120971 -0.0698428 0.502631
-3.77964 -3.23023 -0.120971 -0.0698428 0.502632
-3.77964 -2.88102 0.120971 0.0698428 0.502632
-3.77964 -2.88102 -0.120971 0.0698428 0.502632
-3.77964 -2.88102 0 0.139686 0.514209
-3.77964 -2.88102 0 -0.139686 0.514209
-3.77964 -2.88102 0.120971 -0.0698428 0.502631
-3.77964 -2.88102 -0.120971 -0.0698428 0.502632
-3.77964 0.261911 0.120971 -0.0698428 0.502632
-3.77964 0.261911 0 0.139686 0.514209
-3.77964 0.261911 -0.120971 -0.0698428 0.502632
-3.77964 0.261911 0.120971 0.0698428 0.502631
-3.77964 0.261911 1.77636e-16 -0.139686 0.514209
-3.77964 0.261911 -0.120971 0.0698428 0.502631
-3.47721 -2.70641 0.120971 0.0698428 0.502632
-3.47721 -2.70641 -0.120971 0.0698428 0.502632
-3.47721 -2.70641 0 0.139686 0.514209
-3.47721 -2.70641 0 -0.139686 0.514209
-3.47721 -2.70641 0.120971 -0.0698428 0.502632
-3.47721 -2.70641 -0.120971 -0.0698428 0.502631
-3.47721 -1.30955 -1.77636e-16 0.139686 0.514209
-3.47721 -1.30955 0.120971 -0.0698428 0.502632
-3.47721 -1.30955 0.120971 0.0698428 0.502632
-3.47721 -1.30955 -0.120971 -0.0698428 0.502631
-3.47721 -1.30955 -0.120971 0.0698428 0.502632
-3.47721 -1.30955 0 -0.139686 0.514209
-3.17478 -3.23023 0.120971 0.0698428 0.502632
-3.17478 -3.23023 -0.120971 0.0698428 0.502632
-3.17478 -3.23023 0 0.139686 0.514209
-3.17478 -3.23023 0 -0.139686 0.514209
-3.17478 -3.23023 0.120971 -0.0698428 0.502632
-3.17478 -3.23023 -0.120971 -0.0698428 0.502631
-3.17478 -0.785732 0 0.139686 0.514209
-3.17478 -0.785732 0.120971 -0.0698428 0.502632
-3.17478 -0.785732 0.120971 0.0698428 0.502632
-3.17478 -0.785732 -0.120971 -0.0698428 0.502631
-3.17478 -0.785732 -0.120971 0.0698428 0.502632
-3.17478 -0.785732 0 -0.139686 0.514209
-3.17478 -0.436518 0.120971 -0.0698428 0.502632
-3.17478 -0.436518 0 0.139686 0.514209
-3.17478 -0.436518 0.120971 0.0698428 0.502632
-3.17478 -0.436518 -0.120971 -0.0698428 0.502631
-3.17478 -0.436518 -0.120971 0.0698428 0.502632
-3.17478 -0.436518 0 -0.139686 0.514209
-3.17478 0.960339 0.120971 -0.0698428 0.502632
-3.17478 0.960339 1.77636e-16 0.139686 0.514209
-3.17478 0.960339 0.120971 0.0698428 0.502632
-3.17478 0.960339 -0.120971 -0.0698428 0.502632
-3.17478 0.960339 0 -0.139686 0.514209
-3.17478 0.960339 -0.120971 0.0698428 0.502631
-2.87235 -3.05562 0.120971 0.0698428 0.502632
-2.87235 -3.05562 -0.120971 0.0698428 0.502632
-2.87235 -3.05562 0 -0.139686 0.514209
-2.87235 -3.05562 0 0.139686 0.514209
-2.87235 -3.05562 0.120971 -0.0698428 0.502631
-2.87235 -3.05562 -0.120971 -0.0698428 0.502631
-2.56992 0.960339 0.120971 -0.0698428 0.502632
-2.56992 0.960339 0 0.139686 0.514209
-2.56992 0.960339 0.120971 0.0698428 0.502631
-2.56992 0.960339 -0.120971 -0.0698428 0.502632
-2.56992 0.960339 0 -0.139686 0.514209
-2.56992 0.960339 -0.120971 0.0698428 0.502632
-2.56992 3.05562 0.120971 0.0698428 0.502631
-2.56992 3.05562 0 -0.139686 0.514209
-2.56992 3.05562 0.120971 -0.0698428 0.502632
-2.56992 3.05562 -0.120971 0.0698428 0.502632
-2.56992 3.05562 -0.120971 -0.0698428 0.502632
-2.56992 3.05562 0 0.139686 0.514209
-1.96507 -2.88102 0.120971 0.0698428 0.502632
-1.96507 -2.88102 -0.120971 0.0698428 0.502632
-1.96507 -2.88102 8.88178e-17 0.139686 0.514209
-1.96507 -2.88102 0.120971 -0.0698428 0.502631
-1.96507 -2.88102 8.88178e-17 -0.139686 0.514209
-1.96507 -2.88102 -0.120971 -0.0698428 0.502632
-1.96507 0.611125 0.120971 -0.0698428 0.502632
-1.96507 0.611125 0 0.139686 0.514209
-1.96507 0.611125 0.120971 0.0698428 0.502631
-1.96507 0.611125 -0.120971 -0.0698428 0.502632
-1.96507 0.611125 8.88178e-17 -0.139686 0.514209
-1.96507 0.611125 -0.120971 0.0698428 0.502632
-1.66264 1.83337 0.120971 0.0698428 0.502631
-1.66264 1.83337 8.88178e-17 -0.139686 0.514209
-1.66264 1.83337 0.120971 -0.0698428 0.502632
-1.66264 1.83337 -0.120971 0.0698428 0.502632
-1.66264 1.83337 8.88178e-17 0.139686 0.514209
-1.66264 1.83337 -0.120971 -0.0698428 0.502632
-1.05778 -0.261911 8.88178e-17 0.139686 0.514209
-1.05778 -0.261911 0.120971 0.0698428 0.502632
-1.05778 -0.261911 -0.120971 -0.0698428 0.502631
-1.05778 -0.261911 0.120971 -0.0698428 0.502631
-1.05778 -0.261911 -0.120971 0.0698428 0.502632
-1.05778 -0.261911 0 -0.139686 0.514209
-0.452924 2.18259 4.44089e-17 -0.139686 0.514209
-0.452924 2.18259 0.120971 0.0698428 0.502631
-0.452924 2.18259 0.120971 -0.0698428 0.502632
-0.452924 2.18259 -0.120971 0.0698428 0.502632
-0.452924 2.18259 -0.120971 -0.0698428 0.502632
-0.452924 2.18259 -6.66134e-17 0.139686 0.514209
-0.150495 1.30955 0 -0.139686 0.514209
-0.150495 1.30955 0.120971 -0.0698428 0.502632
-0.150495 1.30955 -0.120971 0.0698428 0.502632
-0.150495 1.30955 0.120971 0.0698428 0.502631
-0.150495 1.30955 -0.120971 -0.0698428 0.502632
-0.150495 1.30955 -4.44089e-17 0.139686 0.514209
0.151933 -0.611125 3.33067e-17 0.139686 0.514209
0.151933 -0.611125 -0.120971 0.0698428 0.502632
0.151933 -0.611125 -0.120971 -0.0698428 0.502631
0.151933 -0.611125 0.120971 -0.0698428 0.502632
0.151933 -0.611125 0.120971 0.0698428 0.502632
0.151933 -0.611125 -2.22045e-17 -0.139686 0.514209
0.151933 1.13495 0.120971 -0.0698428 0.502632
0.151933 1.13495 -2.22045e-17 -0.139686 0.514209
0.151933 1.13495 7.77156e-17 0.139686 0.514209
0.151933 1.13495 -0.120971 -0.0698428 0.502632
0.151933 1.13495 0.120971 0.0698428 0.502632
0.151933 1.13495 -0.120971 0.0698428 0.502631
0.151933 2.18259 0.120971 -0.0698428 0.502632
0.151933 2.18259 3.33067e-17 0.139686 0.514209
0.151933 2.18259 -4.44089e-17 -0.139686 0.514209
0.151933 2.18259 -0.120971 -0.0698428 0.502632
0.151933 2.18259 0.120971 0.0698428 0.502632
0.151933 2.18259 -0.120971 0.0698428 0.502631
0.454361 -0.0873035 0.120971 0.0698428 0.502632
0.454361 -0.0873035 -0.120971 0.0698428 0.502632
0.454361 -0.0873035 -0.120971 -0.0698428 0.502632
0.454361 -0.0873035 4.44089e-17 -0.139686 0.514209
0.454361 -0.0873035 0.120971 -0.0698428 0.502631
0.454361 -0.0873035 -2.22045e-17 0.139686 0.514209
0.454361 2.00798 0.120971 -0.0698428 0.502632
0.454361 2.00798 -0.120971 -0.0698428 0.502632
0.454361 2.00798 4.44089e-17 -0.139686 0.514209
0.454361 2.00798 -4.44089e-17 0.139686 0.514209
0.454361 2.00798 0.120971 0.0698428 0.502631
0.454361 2.00798 -0.120971 0.0698428 0.502632
0.454361 2.3572 0.120971 -0.0698428 0.502632
0.454361 2.3572 -0.120971 -0.0698428 0.502632
0.454361 2.3572 2.22045e-17 0.139686 0.514209
0.454361 2.3572 4.44089e-17 -0.139686 0.514209
0.454361 2.3572 0.120971 0.0698428 0.502631
0.454361 2.3572 -0.120971 0.0698428 0.502632
1.9665 2.88102 -0.120971 -0.0698428 0.502632
1.9665 2.88102 0.120971 -0.0698428 0.502632
1.9665 2.88102 0 -0.139686 0.514209
1.9665 2.88102 8.88178e-17 0.139686 0.514209
1.9665 2.88102 -0.120971 0.0698428 0.502631
1.9665 2.88102 0.120971 0.0698428 0.502632
2.26893 -0.785732 -0.120971 0.0698428 0.502632
2.26893 -0.785732 0 -0.139686 0.514209
2.26893 -0.785732 0.120971 0.0698428 0.502632
2.26893 -0.785732 -0.120971 -0.0698428 0.502631
2.26893 -0.785732 0 0.139686 0.514209
2.26893 -0.785732 0.120971 -0.0698428 0.502632
2.57136 -3.05562 0 0.139686 0.514209
2.57136 -3.05562 -0.120971 -0.0698428 0.502632
2.57136 -3.05562 -0.120971 0.0698428 0.502632
2.57136 -3.05562 0.120971 -0.0698428 0.502631
2.57136 -3.05562 0 -0.139686 0.514209
2.57136 -3.05562 0.120971 0.0698428 0.502632
2.57136 -2.3572 -0.120971 -0.0698428 0.502632
2.57136 -2.3572 0 0.139686 0.514209
2.57136 -2.3572 -0.120971 0.0698428 0.502632
2.57136 -2.3572 0.120971 -0.0698428 0.502631
2.57136 -2.3572 0 -0.139686 0.514209
2.57136 -2.3572 0.120971 0.0698428 0.502632
2.57136 0.436518 1.77636e-16 -0.139686 0.514209
2.57136 0.436518 -0.120971 0.0698428 0.502632
2.57136 0.436518 -0.120971 -0.0698428 0.502632
2.57136 0.436518 0.120971 0.0698428 0.502631
2.57136 0.436518 0.120971 -0.0698428 0.502632
2.57136 0.436518 1.77636e-16 0.139686 0.514209
2.87379 2.00798 -0.120971 -0.0698428 0.502632
2.87379 2.00798 1.77636e-16 -0.139686 0.514209
2.87379 2.00798 0 0.139686 0.514209
2.87379 2.00798 -0.120971 0.0698428 0.502632
2.87379 2.00798 0.120971 -0.0698428 0.502632
2.87379 2.00798 0.120971 0.0698428 0.502631
3.17622 -3.40484 -0.120971 -0.0698428 0.502632
3.17622 -3.40484 0 0.139686 0.514209
3.17622 -3.40484 0.120971 -0.0698428 0.502631
3.17622 -3.40484 -0.120971 0.0698428 0.502632
3.17622 -3.40484 0 -0.139686 0.514209
3.17622 -3.40484 0.120971 0.0698428 0.502632
3.17622 -2.00798 -0.120971 -0.0698428 0.502632
3.17622 -2.00798 0.120971 -0.0698428 0.502631
3.17622 -2.00798 -0.120971 0.0698428 0.502632
3.17622 -2.00798 1.77636e-16 0.139686 0.514209
3.17622 -2.00798 0 -0.139686 0.514209
3.17622 -2.00798 0.120971 0.0698428 0.502632
3.17622 2.88102 -0.120971 -0.0698428 0.502632
3.17622 2.88102 0.120971 -0.0698428 0.502632
3.17622 2.88102 0 -0.139686 0.514209
3.17622 2.88102 0 0.139686 0.514209
3.17622 2.88102 -0.120971 0.0698428 0.502632
3.17622 2.88102 0.120971 0.0698428 0.502631
3.47864 -1.83337 -0.120971 0.0698428 0.502632
3.47864 -1.83337 -0.120971 -0.0698428 0.502631
3.47864 -1.83337 0.120971 0.0698428 0.502632
3.47864 -1.83337 0 -0.139686 0.514209
3.47864 -1.83337 -1.77636e-16 0.139686 0.514209
3.47864 -1.83337 0.120971 -0.0698428 0.502632
3.78107 0.436518 -1.77636e-16 -0.139686 0.514209
3.78107 0.436518 -0.120971 0.0698428 0.502631
3.78107 0.436518 -0.120971 -0.0698428 0.502632
3.78107 0.436518 0.120971 0.0698428 0.502632
3.78107 0.436518 0.120971 -0.0698428 0.502632
3.78107 0.436518 -1.77636e-16 0.139686 0.514209
-3.47721 1.83337 0.120971 -0.0698428 0.502632
-3.47721 1.83337 0.120971 0.0698428 0.502632
-3.47721 1.83337 -0.120971 -0.0698428 0.502632
-3.47721 1.83337 0 0.139686 0.514209
-3.47721 1.83337 1.77636e-16 -0.139686 0.514209
-3.47721 1.83337 -0.120971 0.0698428 0.502631
-3.47721 2.18259 0.120971 0.0698428 0.502632
-3.47721 2.18259 0.120971 -0.0698428 0.502632
-3.47721 2.18259 -0.120971 0.0698428 0.502631
-3.47721 2.18259 0 -0.139686 0.514209
-3.47721 2.18259 1.77636e-16 0.139686 0.514209
-3.47721 2.18259 -0.120971 -0.0698428 0.502632
-3.47721 2.5318 0.120971 0.0698428 0.502632
-3.47721 2.5318 -1.77636e-16 -0.139686 0.514209
-3.47721 2.5318 0.120971 -0.0698428 0.502632
-3.47721 2.5318 -0.120971 0.0698428 0.502631
-3.47721 2.5318 0 0.139686 0.514209
-3.47721 2.5318 -0.120971 -0.0698428 0.502632
-3.47721 2.88102 0.120971 0.0698428 0.502632
-3.47721 2.88102 0 -0.139686 0.514209
-3.47721 2.88102 0.120971 -0.0698428 0.502632
-3.47721 2.88102 -0.120971 0.0698428 0.502631
-3.47721 2.88102 0 0.139686 0.514209
-3.47721 2.88102 -0.120971 -0.0698428 0.502632
-3.47721 3.23023 0.120971 0.0698428 0.502632
-3.47721 3.23023 0 -0.139686 0.514209
-3.47721 3.23023 0.120971 -0.0698428 0.502632
-3.47721 3.23023 -0.120971 0.0698428 0.502631
-3.47721 3.23023 0 0.139686 0.514209
-3.47721 3.23023 -0.120971 -0.0698428 0.502632
-3.77964 -1.48416 0 0.139686 0.514209
-3.77964 -1.48416 0.120971 -0.0698428 0.502631
-3.77964 -1.48416 0.120971 0.0698428 0.502632
-3.77964 -1.48416 -0.120971 -0.0698428 0.502632
-3.77964 -1.48416 -0.120971 0.0698428 0.502632
-3.77964 -1.48416 0 -0.139686 0.514209
-3.17478 -2.88102 0.120971 0.0698428 0.502632
-3.17478 -2.88102 -0.120971 0.0698428 0.502632
-3.17478 -2.88102 0 0.139686 0.514209
-3.17478 -2.88102 0 -0.139686 0.514209
-3.17478 -2.88102 0.120971 -0.0698428 0.502632
-3.17478 -2.88102 -0.120971 -0.0698428 0.502631
-3.17478 -2.5318 0.120971 0.0698428 0.502632
-3.17478 -2.5318 -0.120971 0.0698428 0.502632
-3.17478 -2.5318 -1.77636e-16 0.139686 0.514209
-3.17478 -2.5318 0 -0.139686 0.514209
-3.17478 -2.5318 0.120971 -0.0698428 0.502632
-3.17478 -2.5318 -0.120971 -0.0698428 0.502631
-3.17478 -2.18259 0.120971 0.0698428 0.502632
-3.17478 -2.18259 -0.120971 0.0698428 0.502632
-3.17478 -2.18259 0 0.139686 0.514209
-3.17478 -2.18259 1.77636e-16 -0.139686 0.514209
-3.17478 -2.18259 0.120971 -0.0698428 0.502632
-3.17478 -2.18259 -0.120971 -0.0698428 0.502631
-3.17478 -1.83337 0.120971 0.0698428 0.502632
-3.17478 -1.83337 1.77636e-16 0.139686 0.514209
-3.17478 -1.83337 0 -0.139686 0.514209
-3.17478 -1.83337 -0.120971 0.0698428 0.502632
-3.17478 -1.83337 0.120971 -0.0698428 0.502632
-3.17478 -1.83337 -0.120971 -0.0698428 0.502631
-3.17478 -1.48416 -1.77636e-16 0.139686 0.514209
-3.17478 -1.48416 -0.120971 -0.0698428 0.502631
-3.17478 -1.48416 0.120971 0.0698428 0.502632
-3.17478 -1.48416 0.120971 -0.0698428 0.502632
-3.17478 -1.48416 -0.120971 0.0698428 0.502632
-3.17478 -1.48416 -1.77636e-16 -0.139686 0.514209
-3.17478 -1.13495 0 0.139686 0.514209
