# x y xvec_nb yvec_nb regE(nb)-regE(xy)
-3.77964 -3.23023 0.138658 0.0814369 -0.211345
-3.77964 -3.23023 0 0.151832 -0.0859987
-3.77964 -3.23023 0.142274 -0.0702053 -0.0777812
-3.77964 -3.23023 -0.122168 0.0660624 0.123836
-3.77964 -3.23023 0.0314523 -0.157326 -0.0567907
-3.77964 -3.23023 -0.106647 -0.0914657 0.0756894
-3.77964 -2.88102 0.131491 0.0759161 -0.0991867
-3.77964 -2.88102 0.138658 -0.0703954 -0.13458
-3.77964 -2.88102 -0.077751 0.111258 0.0208119
-3.77964 -2.88102 0.051229 0.182356 0.0477951
-3.77964 -2.88102 -0.122168 -0.0857699 0.202697
-3.77964 -2.88102 0 -0.151832 0.0859987
-3.77964 -2.88102 -0.198792 0.0181005 0.0576257
-3.77964 0.261911 0.0374672 0.139138 -0.0420186
-3.77964 0.261911 0.115686 -0.0891573 -0.0415086
-3.77964 0.261911 0.155282 0.0539101 0.0279519
-3.77964 0.261911 -0.0985602 -0.0918924 0.157355
-3.77964 0.261911 -0.00103925 -0.187613 0.0462859
-3.77964 0.261911 -0.131491 0.0759161 0.0148334
-3.47721 -2.70641 0.104268 0.105823 -0.0745932
-3.47721 -2.70641 -0.0802615 0.10644 0.180879
-3.47721 -2.70641 0.00716705 -0.146311 -0.0400579
-3.47721 -2.70641 0.140133 -0.0671735 -0.178923
-3.47721 -2.70641 -0.131491 -0.0759161 0.0991867
-3.47721 -1.30955 0.153791 0.0350471 -0.183753
-3.47721 -1.30955 0.0400734 0.131359 0.0192775
-3.47721 -1.30955 -0.147233 -0.0935132 0.0217112
-3.47721 -1.30955 0.123488 -0.113842 -0.23301
-3.47721 -1.30955 -0.0303021 -0.148836 0.0203435
-3.47721 -1.30955 -0.120877 0.0525653 0.155256
-3.17478 -3.23023 0.131491 0.0759161 -0.0865859
-3.17478 -3.23023 -0.124324 0.0814369 -0.0789997
-3.17478 -3.23023 0.00864286 0.160575 -0.209431
-3.17478 -3.23023 0.0544141 -0.129923 0.147997
-3.17478 -3.23023 0.178003 -0.0455635 0.130945
-3.17478 -3.23023 -0.120708 -0.0702053 0.0709247
-3.17478 -0.785732 0 0.151832 -0.0441207
-3.17478 -0.785732 0.122643 -0.0999376 -0.234315
-3.17478 -0.785732 0.131787 0.0616706 -0.233529
-3.17478 -0.785732 -0.0914172 -0.096389 0.0784007
-3.17478 -0.785732 -0.126906 0.0630951 0.153295
-3.17478 -0.785732 0.0223009 -0.192701 -0.10937
-3.17478 -0.436518 -0.00938923 0.149934 0.0916662
-3.17478 -0.436518 0.117885 0.0965501 -0.0467653
-3.17478 -0.436518 0.131787 -0.0901616 -0.170845
-3.17478 -0.436518 -0.126906 -0.0887371 0.18356
-3.17478 -0.436518 -0.133732 0.0606925 0.1556
-3.17478 -0.436518 0 -0.151832 0.0441207
-3.17478 0.960339 0.139437 -0.080418 -0.080333
-3.17478 0.960339 0.0809411 0.175955 0.127677
-3.17478 0.960339 0.0502843 -0.182891 -0.0418396
-3.17478 0.960339 -0.170505 0.00310365 -0.0680239
-3.17478 0.960339 0.149182 0.0681853 0.0424149
-3.17478 0.960339 -0.0580515 0.114009 0.232854
-3.17478 0.960339 -0.0785859 -0.109675 0.0416668
-2.87235 -3.05562 0.201504 0.0640452 0.0940831
-2.87235 -3.05562 -0.122848 0.0846588 -0.137617
-2.87235 -3.05562 -0.0328434 0.196258 0.0543907
-2.87235 -3.05562 0.0754517 0.118227 0.055725
-2.87235 -3.05562 0.0465121 -0.12148 0.286029
-2.87235 -3.05562 0.172435 -0.0728507 0.0967397
-2.87235 -3.05562 -0.131491 -0.0759161 0.0865859
-2.56992 0.960339 0.0705458 0.121154 -0.077113
-2.56992 0.960339 0.0514047 -0.142457 0.0214327
-2.56992 0.960339 0.153686 -0.0541455 0.0426346
-2.56992 0.960339 -0.123544 -0.080418 -0.0425422
-2.56992 0.960339 -0.113799 0.0681853 0.102642
-2.56992 3.05562 0.0941971 -0.109256 -0.169555
-2.56992 3.05562 0.167144 0.0672907 -0.144736
-2.56992 3.05562 0.0682303 0.161457 -0.125283
-2.56992 3.05562 -0.0674181 0.116768 0.0760953
-2.56992 3.05562 -0.179811 0.0201077 -0.0264404
-2.56992 3.05562 -0.0781155 -0.0981881 0.322238
-1.96507 -2.88102 -0.0731283 0.100501 0.271424
-1.96507 -2.88102 0.0924268 0.118639 -0.206923
-1.96507 -2.88102 -0.0841725 -0.111841 0.043127
-1.96507 -2.88102 -0.192968 -0.0118709 -0.0370944
-1.96507 -2.88102 0.181163 -0.0511838 -0.107467
-1.96507 -2.88102 0.0678514 -0.131598 -0.0773905
-1.96507 0.611125 0.161 -0.0651656 -0.0631142
-1.96507 0.611125 0.066318 0.120551 0.0185298
-1.96507 0.611125 0.194661 0.0641372 0.0444433
-1.96507 0.611125 -0.0975131 -0.09008 0.109661
-1.96507 0.611125 0.0454658 -0.148496 0.0143411
-1.96507 0.611125 -0.109295 0.0976868 0.0390328
-1.66264 1.83337 0.0672861 -0.162377 0.041952
-1.66264 1.83337 0.156422 0.0685475 -0.0773958
-1.66264 1.83337 0.160536 -0.0692432 -0.0332147
-1.66264 1.83337 0.0891026 0.18195 0.0523249
-1.66264 1.83337 -0.160305 0.00379563 -0.0670421
-1.66264 1.83337 -0.070129 -0.114995 0.191865
-1.66264 1.83337 -0.0404784 0.12026 0.217859
-1.05778 -0.261911 0.0555666 0.15137 0.00411402
-1.05778 -0.261911 -0.0869061 0.102967 0.209934
-1.05778 -0.261911 0.18388 -0.0708029 -0.0122769
-1.05778 -0.261911 0.159021 0.064259 -0.069065
-1.05778 -0.261911 -0.0669167 -0.109452 0.271911
-1.05778 -0.261911 -0.183203 -0.00378526 0.0157995
-1.05778 -0.261911 0.0778562 -0.14785 -0.011261
-0.452924 2.18259 0.0406321 -0.142137 0.0188834
-0.452924 2.18259 0.144126 0.0678773 -0.0772591
-0.452924 2.18259 -0.0992417 0.0898171 0.0204917
-0.452924 2.18259 0.162643 -0.0891024 -0.0233917
-0.452924 2.18259 -0.108564 -0.0831638 0.0963993
-0.452924 2.18259 0.0448516 0.158335 -0.0155666
-0.150495 1.30955 0.131491 -0.0759161 -0.178404
-0.150495 1.30955 0.0535076 -0.176457 0.0510811
-0.150495 1.30955 -0.0946354 0.0939945 0.088878
-0.150495 1.30955 0.0528157 0.137901 -0.122911
-0.150495 1.30955 0.178278 0.055111 -0.216307
-0.150495 1.30955 -0.0839301 -0.102263 0.0409926
0.151933 -0.611125 0.198723 -0.0566533 -0.090111
