# x y shiftx shifty (regularE-shiftedE)/(shiftlength)
-3.77964 -3.23023 0.127565 0.0749219 -0.0725077
-3.77964 -3.23023 0 0.139686 0.486785
-3.77964 -3.23023 0.130892 -0.0645889 -0.0683006
-3.77964 -3.23023 -0.112394 0.0607774 1.09145
-3.77964 -3.23023 0.0289361 -0.14474 0.356994
-3.77964 -3.23023 -0.0981154 -0.0841484 0.98652
-3.77964 -2.88102 0.120971 0.0698428 0.238014
-3.77964 -2.88102 0.127565 -0.0647637 0.2545
-3.77964 -2.88102 -0.0715309 0.102358 0.669837
-3.77964 -2.88102 0.0471307 0.167767 0.408048
-3.77964 -2.88102 -0.112394 -0.0789083 0.728623
-3.77964 -2.88102 0 -0.139686 0.547497
-3.77964 -2.88102 -0.182889 0.0166525 0.753654
-3.77964 0.261911 0.0344698 0.128007 0.307475
-3.77964 0.261911 0.106431 -0.0820247 0.462978
-3.77964 0.261911 0.142859 0.0495973 0.33037
-3.77964 0.261911 -0.0906754 -0.084541 0.817009
-3.77964 0.261911 -0.000956111 -0.172604 0.687174
-3.77964 0.261911 -0.120971 0.0698428 0.480663
-3.47721 -2.70641 0.095927 0.0973573 0.359543
-3.47721 -2.70641 -0.0738406 0.0979244 0.901058
-3.47721 -2.70641 0.00659369 -0.134607 0.342673
-3.47721 -2.70641 0.128923 -0.0617996 0.10442
-3.47721 -2.70641 -0.120971 -0.0698428 0.644258
-3.47721 -1.30955 0.141488 0.0322434 0.116334
-3.47721 -1.30955 0.0368675 0.120851 0.845951
-3.47721 -1.30955 -0.135454 -0.0860321 0.645664
-3.47721 -1.30955 0.113609 -0.104735 -0.237906
-3.47721 -1.30955 -0.027878 -0.136929 0.107623
-3.47721 -1.30955 -0.111207 0.0483601 1.16757
-3.17478 -3.23023 0.120971 0.0698428 0.132066
-3.17478 -3.23023 -0.114378 0.0749219 0.510612
-3.17478 -3.23023 0.00795143 0.147729 0.1298
-3.17478 -3.23023 0.050061 -0.119529 0.732309
-3.17478 -3.23023 0.163762 -0.0419184 0.357979
-3.17478 -3.23023 -0.111051 -0.0645889 0.890478
-3.17478 -0.785732 0 0.139686 0.585215
-3.17478 -0.785732 0.112831 -0.0919426 -0.101074
-3.17478 -0.785732 0.121244 0.056737 0.0365858
-3.17478 -0.785732 -0.0841038 -0.0886779 0.886008
-3.17478 -0.785732 -0.116754 0.0580475 1.09157
-3.17478 -0.785732 0.0205168 -0.177285 0.266443
-3.17478 -0.436518 -0.00863809 0.137939 0.684066
-3.17478 -0.436518 0.108454 0.0888261 0.220868
-3.17478 -0.436518 0.121244 -0.0829487 0.00162395
-3.17478 -0.436518 -0.116754 -0.0816381 0.800494
-3.17478 -0.436518 -0.123033 0.0558371 0.949031
-3.17478 -0.436518 0 -0.139686 0.393154
-3.17478 0.960339 0.128282 -0.0739846 -0.211483
-3.17478 0.960339 0.0744658 0.161878 0.502421
-3.17478 0.960339 0.0462616 -0.168259 0.0817485
-3.17478 0.960339 -0.156864 0.00285536 1.06322
-3.17478 0.960339 0.137247 0.0627305 0.00536622
-3.17478 0.960339 -0.0534074 0.104888 1.10105
-3.17478 0.960339 -0.0722991 -0.100901 0.657166
-2.87235 -3.05562 0.185383 0.0589216 0.316243
-2.87235 -3.05562 -0.11302 0.0778861 0.277823
-2.87235 -3.05562 -0.0302159 0.180557 0.217474
-2.87235 -3.05562 0.0694155 0.108769 0.235719
-2.87235 -3.05562 0.0427911 -0.111761 0.940639
-2.87235 -3.05562 0.15864 -0.0670227 0.602371
-2.87235 -3.05562 -0.120971 -0.0698428 0.62245
-2.56992 0.960339 0.0649022 0.111462 0.417914
-2.56992 0.960339 0.0472924 -0.13106 0.192359
-2.56992 0.960339 0.141391 -0.0498138 0.0526
-2.56992 0.960339 -0.11366 -0.0739846 0.74227
-2.56992 0.960339 -0.104695 0.0627305 1.01201
-2.56992 3.05562 0.0866614 -0.100515 0.26635
-2.56992 3.05562 0.153773 0.0619075 -0.585699
-2.56992 3.05562 0.0627719 0.14854 -0.235407
-2.56992 3.05562 -0.0620247 0.107427 0.613057
-2.56992 3.05562 -0.165426 0.0184991 1.25353
-2.56992 3.05562 -0.0718662 -0.090333 1.45972
-1.96507 -2.88102 -0.0672781 0.092461 1.25316
-1.96507 -2.88102 0.0850327 0.109147 0.202099
-1.96507 -2.88102 -0.0774387 -0.102893 0.747039
-1.96507 -2.88102 -0.177531 -0.0109213 1.11498
-1.96507 -2.88102 0.16667 -0.0470891 -0.364758
-1.96507 -2.88102 0.0624233 -0.12107 0.0242236
-1.96507 0.611125 0.14812 -0.0599524 -0.0587748
-1.96507 0.611125 0.0610126 0.110907 0.332747
-1.96507 0.611125 0.179088 0.0590063 0.00218894
-1.96507 0.611125 -0.0897121 -0.0828736 0.939558
-1.96507 0.611125 0.0418285 -0.136616 0.363547
-1.96507 0.611125 -0.100552 0.0898718 0.789379
-1.66264 1.83337 0.0619032 -0.149387 0.089548
