# x y xvec_nb yvec_nb regE(nb)-regE(xy)
-3.77964 -3.23023 0.127184 0.0789181 -0.0598411
-3.77964 -3.23023 0 0.139686 -0.0699594
-3.77964 -3.23023 0.133233 -0.0552467 0.0884147
-3.77964 -3.23023 -0.0538105 -0.105228 -0.00281345
-3.77964 -3.23023 -0.119544 0.0341684 -0.0203536
-3.77964 -3.23023 0.0939562 -0.162267 0.0692048
-3.77964 -2.88102 -0.0735684 0.0971505 0.22584
-3.77964 -2.88102 0.120971 0.0698428 -0.0343562
-3.77964 -2.88102 0.127184 -0.0607675 0.00578445
-3.77964 -2.88102 0.0469382 0.165112 0.129068
-3.77964 -2.88102 -0.119544 -0.105517 0.0454167
-3.77964 -2.88102 -0.16798 0.00624874 0.0622713
-3.77964 -2.88102 0 -0.139686 0.0699594
-3.77964 0.261911 0.0613934 0.117192 -0.0987971
-3.77964 0.261911 0.108084 -0.0851261 0.0164851
-3.77964 0.261911 -0.0452024 0.181467 -0.0889571
-3.77964 0.261911 0.167497 0.0289695 -0.0577121
-3.77964 0.261911 -0.120971 0.0698428 0.0673812
-3.77964 0.261911 -0.168737 -0.0382521 0.0716968
-3.77964 0.261911 -0.0351135 -0.111696 0.282258
-3.47721 -2.70641 0.162941 0.0602096 -0.039816
-3.47721 -2.70641 -0.0740332 0.0952692 0.223403
-3.47721 -2.70641 0.0611955 0.135954 -0.0608385
-3.47721 -2.70641 0.131638 -0.062837 -0.104629
-3.47721 -2.70641 0.00621281 -0.13061 0.0429375
-3.47721 -2.70641 -0.120971 -0.0698428 0.0343562
-3.47721 -1.30955 0.0309441 0.122741 0.272107
-3.47721 -1.30955 0.139436 -0.0598145 -0.0593756
-3.47721 -1.30955 0.154718 0.0648026 -0.0243288
-3.47721 -1.30955 -0.0888083 -0.0815539 0.0664318
-3.47721 -1.30955 -0.0946833 0.105918 0.139092
-3.47721 -1.30955 0.0545128 -0.146271 -0.108479
-3.47721 -1.30955 -0.184794 0.0141422 0.0501529
-3.17478 -3.23023 0.120971 0.0698428 -0.0505692
-3.17478 -3.23023 -0.114759 0.0789181 -0.0591558
-3.17478 -3.23023 0.0106672 0.146692 -0.197956
-3.17478 -3.23023 0.0457716 -0.118096 -0.0342222
